Ano;Região;UF;Estado;Organização Acadêmica;Instituicao;Instituição (Nome);Gastos_Correntes_matricula;Gastos Correntes | Gastos Totais;Gastos Correntes | Gastos Correntes;Gastos Correntes | Inativos e Pensionistas;Gastos Correntes | Investimentos e Inversões Financeiras;Gastos Correntes | Precatórios;Gastos Correntes | Outros Custeios;Gastos Correntes | Pessoal
2022;Centro-Oeste;DF;Distrito Federal;"Institutos Federais, Cefet's e Colégio Pedro II";IFB;Instituto Federal de Brasília;11969,44966537655;295160146,34;263724591,61999997;3887995,17;27459080,15;88479,4;38038111,21000001;229673252,09
2022;Centro-Oeste;GO;Goiás;"Institutos Federais, Cefet's e Colégio Pedro II";IF GOIANO;Instituto Federal Goiano;18600,401276734083;392644910,19000006;347168598,61;26075325,13;17875268,1;1525718,35;60386626,129999995;314407509,6
2022;Centro-Oeste;GO;Goiás;"Institutos Federais, Cefet's e Colégio Pedro II";IFG;Instituto Federal de Goiás;21071,795427428693;525098174,74999994;442401610,1199999;67326562,48;11092609,530000001;4277392,62;47465904,4;466549044,69
2022;Centro-Oeste;MS;Mato Grosso do Sul;"Institutos Federais, Cefet's e Colégio Pedro II";IFMS;Instituto Federal do Mato Grosso do Sul;12106,682455195652;243657606,48000002;222385485,95000005;1637467,54;19504994,509999998;129658,48;28583754,67;195574537,56
2022;Centro-Oeste;MT;Mato Grosso;"Institutos Federais, Cefet's e Colégio Pedro II";IFMT;Instituto Federal do Mato Grosso;15443,175009751389;541317863,35;447664701,31000006;63124092,61;29210398,259999998;1318671,17;85708622,96;426441754,15
2022;Nordeste;AL;Alagoas;"Institutos Federais, Cefet's e Colégio Pedro II";IFAL;Instituto Federal de Alagoas;16659,347206973223;498164249,50999993;397502573,8899999;66884380,13;20750370,19;13026925,299999999;54536460,99;422890013,3499999
2022;Nordeste;BA;Bahia;"Institutos Federais, Cefet's e Colégio Pedro II";IF BAIANO;Instituto Federal Baiano;20828,059482312394;380462209,97;357401278,84000003;14277177,67;5916526,89;2867226,57;59322264,95999999;315226588,45
2022;Nordeste;BA;Bahia;"Institutos Federais, Cefet's e Colégio Pedro II";IFBA;Instituto Federal da Bahia;18336,404851095336;674160339,4700001;585018096,3700001;76955624,58;10554338,67;1632279,85;84518566,14000002;579119494,3
2022;Nordeste;CE;Ceará;"Institutos Federais, Cefet's e Colégio Pedro II";IFCE;Instituto Federal do Ceará;12782,326355653835;878528707,23;756751194,84;84721710,49;22944189,77;14111612,129999999;104995620,15;750609340,47
2022;Nordeste;MA;Maranhão;"Institutos Federais, Cefet's e Colégio Pedro II";IFMA;Instituto Federal do Maranhão;13909,706948096367;719001529,6400001;643166930,1000001;52884337,94;22823450,95;126810,65;95723102,46000001;600454976,23
2022;Nordeste;PB;Paraíba;"Institutos Federais, Cefet's e Colégio Pedro II";IFPB;Instituto Federal da Paraíba;15273,793595970455;636154089,7199999;527220230,76;90129185,25;17442721,150000002;1361952,56;67591997,55;551121068,59
2022;Nordeste;PE;Pernambuco;"Institutos Federais, Cefet's e Colégio Pedro II";IF SERTÃO-PE;Instituto Federal do Sertão Pernambucano;18631,584967603158;215283197,28000003;197205633,8;13825611,93;2600472,99;1651478,56;26321890,71;186360833,57999998
2022;Nordeste;PE;Pernambuco;"Institutos Federais, Cefet's e Colégio Pedro II";IFPE;Instituto Federal de Pernambuco;17899,182293381065;645377561,35;494081235,1700001;119297946,4;11527342,25;20471037,53;65599436,98;568253483,11
2022;Nordeste;PI;Piauí;"Institutos Federais, Cefet's e Colégio Pedro II";IFPI;Instituto Federal do Piauí;14595,146955614413;521251089,39;463908563,08;49170130,68;4476967,79;3695427,84;62530331,44;454270707,49
2022;Nordeste;RN;Rio Grande do Norte;"Institutos Federais, Cefet's e Colégio Pedro II";IFRN;Instituto Federal do Rio Grande do Norte;15736,044597163605;712403558,9;618749222,23;77536626,67;13661564,94;2456145,06;89749249,57000001;609007309,4
2022;Nordeste;SE;Sergipe;"Institutos Federais, Cefet's e Colégio Pedro II";IFS;Instituto Federal de Sergipe;19832,196911099498;302161134,54;242403769,12000003;53720206,63;1949231,54;4087927,25;29844427,59;270369035,91
2022;Norte;AC;Acre;"Institutos Federais, Cefet's e Colégio Pedro II";IFAC;Instituto Federal do Acre;19155,04475426408;147883908,51000002;133612432,69000003;743716,1;12924467,649999999;603292,0700000001;20000169,09;114959475,9
2022;Norte;AM;Amazonas;"Institutos Federais, Cefet's e Colégio Pedro II";IFAM;Instituto Federal do Amazonas;15079,793176673902;425381916,88000005;356943944,7200001;49266178,33;18583146,81;588647,02;66786952;340011818,07000005
2022;Norte;AP;Amapá;"Institutos Federais, Cefet's e Colégio Pedro II";IFAP;Instituto Federal do Amapá;17452,876883939203;121158203,94000001;113054797,29;929423,65;7076916,8;97066,2;22315772,14;91765515
2022;Norte;PA;Pará;"Institutos Federais, Cefet's e Colégio Pedro II";IFPA;Instituto Federal do Pará;17873,752439108506;547722315,8;471902818,5999999;61814164,29;13267733,96;737598,95;68438696,53;466015885,31
2022;Norte;RO;Rondônia;"Institutos Federais, Cefet's e Colégio Pedro II";IFRO;Instituto Federal de Rondônia;11098,083964297994;279011218,86;243560667,64000005;6481850,02;28880698,990000002;88002,21;47001435,61;203131438,26999998
2022;Norte;RR;Roraima;"Institutos Federais, Cefet's e Colégio Pedro II";IFRR;Instituto Federal de Roraima;22135,059081995427;156466517,94;128097457,32;21322499,78;6959625,25;86935,59;20070650,29;129438472,2
2022;Norte;TO;Tocantins;"Institutos Federais, Cefet's e Colégio Pedro II";IFTO;Instituto Federal do Tocantins;14301,750782576491;281541752;266691300,62;4997942,2;9852509,18;;43360031,330000006;228337624,72
2022;Sudeste;ES;Espírito Santo;"Institutos Federais, Cefet's e Colégio Pedro II";IFES;Instituto Federal do Espírito Santo;17893,39570943969;826303374,5200001;674351754,6400001;107513414,1;36061487,31;8376718,47;122194116,98000002;668068525,66
2022;Sudeste;MG;Minas Gerais;"Institutos Federais, Cefet's e Colégio Pedro II";CEFET-MG;Centro Federal de Educação Tecnológica de Minas Gerais;21883,116645216563;527195970,83;401171404,34000003;115223661,9;8765832,129999999;2035072,46;63339238,529999994;455119766,8
2022;Sudeste;MG;Minas Gerais;"Institutos Federais, Cefet's e Colégio Pedro II";IF SUDESTE MG;Instituto Federal do Sudeste de Minas Gerais;18593,37016068583;335267972,02;284727135,90000004;43163034,52;6672021,02;705780,58;37849502,480000004;290760671,4
2022;Sudeste;MG;Minas Gerais;"Institutos Federais, Cefet's e Colégio Pedro II";IFMG;Instituto Federal de Minas Gerais;16868,56943863219;486220765,52;410767656,15999997;49615766,06;25368381,729999997;468961,57;53818388,589999996;407080165,11
2022;Sudeste;MG;Minas Gerais;"Institutos Federais, Cefet's e Colégio Pedro II";IFNMG;Instituto Federal do Norte de Minas Gerais;13287,540608182262;314841192,17;286254241,39000005;18605177,76;9604570,120000001;377202,9;49864132,050000004;255378677,88
